tag,timestamp,desc,backend,path,batch,cache,method,elapsed_mean_s,elapsed_min_s,elapsed_median_s,reps,bytes,throughput_MB_s,shape,dtype,hash,ok,error
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-04.nd2,8,cold,naive_stack,0.010581678691475341,0.009794132027309388,0.010442319035064429,3,2184448,206.43681061302715,8x2x212x322,uint16,4077961d3c169aadf7283b13c3cef21a,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-04.nd2,16,warm,naive_stack,0.005204896000213921,0.005170277028810233,0.005206802976317704,5,4368896,839.3819972234677,16x2x212x322,uint16,2f9778364ccdb37a02bcaf662b897d4d,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-04.nd2,16,cold,naive_stack,0.019416092972581584,0.01907593396026641,0.019263886963017285,3,4368896,225.01416768911912,16x2x212x322,uint16,2f9778364ccdb37a02bcaf662b897d4d,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-04.nd2,32,warm,naive_stack,0.011252249008975923,0.01121968001825735,0.011259550985414535,5,8737792,776.5373831515691,32x2x212x322,uint16,fbc0a36f13e7610acbe4435b1a094acb,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-04.nd2,32,cold,naive_stack,0.04064467566786334,0.03965840698219836,0.03981788700912148,3,8737792,214.9799907717984,32x2x212x322,uint16,fbc0a36f13e7610acbe4435b1a094acb,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-04.nd2,64,warm,naive_stack,0.0225189138087444,0.02218752005137503,0.022502996027469635,5,17475584,776.0402721206736,64x2x212x322,uint16,5914682c419f31d551b0546443cd4d67,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-04.nd2,64,cold,naive_stack,0.08714027068344876,0.08415626303758472,0.08514727500732988,3,17475584,200.54544084999355,64x2x212x322,uint16,5914682c419f31d551b0546443cd4d67,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-04.nd2,128,warm,naive_stack,0.04506474179215729,0.04469372099265456,0.044910957978572696,5,34951168,775.5767948521259,128x2x212x322,uint16,ff05eb71429b71c9a8fbbcf45385c781,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-02-04.nd2,128,cold,naive_stack,0.16872350433065245,0.1652232920168899,0.1679411759832874,3,34951168,207.15055758624572,128x2x212x322,uint16,ff05eb71429b71c9a8fbbcf45385c781,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-03-11.nd2,1,warm,naive_stack,0.00011741680791601538,0.00011536397505551577,0.00011664599878713489,5,273056,2325.527365684379,1x2x212x322,uint16,b8c1ba0e2d72b2867ce22bb3962f213e,True,
